test_month,profitable,active_month,gross_monthly_return,net_monthly_return,transaction_cost,trade_count,avg_entry_zscore,avg_holding_days,cost_flipped_month,inactive_month,unprofitable_month
2021-03-01,True,True,0.023956403622869882,0.0233936556371801,0.0005530834800567,2,0.25436598514204856,1.0,False,False,False
2021-04-01,True,True,0.021798303249555007,0.021798303249555007,0.0,0,,,False,False,False
2021-05-01,True,True,0.0019195561539318007,0.0019195561539318007,0.0,0,,,False,False,False
2021-06-01,True,True,0.014740810187717113,0.014461030642051398,0.0002763935534608,1,-4.022688516256969,2.0,False,False,False
2021-07-01,True,True,0.006196289937904886,0.005920254651447632,0.00027459686313309494,2,-2.848317494980296,11.0,False,False,False
2021-08-01,True,True,0.00261112204692604,0.001952256704400357,0.0006578426559054085,3,-3.1377553824442432,165.0,False,False,False
2021-09-01,False,True,-0.004087772362851183,-0.004431152831123164,0.0003453113939570787,1,-3.196651566881252,2.0,False,False,True
2021-10-01,True,True,0.009525713040256845,0.008901724225079288,0.0006195143343080745,2,-0.36476876009065595,1.0,False,False,False
2021-11-01,True,True,0.00465207130985279,0.004299432711317053,0.00035082562228324346,1,3.0793763218738777,1.0,False,False,False
2021-12-01,False,True,-0.0077330641184688576,-0.008877859632258178,0.001151954880223805,5,0.052205905407167186,8.2,False,False,True
2022-01-01,False,True,-0.009053481424450394,-0.010324292962011317,0.0012813002349962995,5,0.4858566411051683,1.6,False,False,True
2022-02-01,True,True,0.008736697593760612,0.007923541195539618,0.0008079916184175972,3,-0.30515201151133264,33.0,False,False,False
2022-03-01,True,True,0.008460456914126002,0.008111376375351753,0.0003464863777365434,1,3.818298453894382,1.0,False,False,False
2022-04-01,True,True,0.011360760292340899,0.011292134212723237,6.788409823763419e-05,0,,,False,False,False
2022-05-01,False,True,-0.0010827321911369703,-0.0021711352043368715,0.0010907542266333492,5,-0.5770518977768542,1.2,False,False,True
2022-06-01,True,True,0.02760451069941472,0.027007710286650388,0.0005839178099855554,2,-3.0948537815780837,1.0,False,False,False
2022-07-01,False,True,-0.005317715691925073,-0.005669679094772229,0.0003540813987496877,1,-2.810123040939809,1.0,False,False,True
2022-08-01,True,True,0.020930932643875577,0.020930932643875577,0.0,0,,,False,False,False
2022-09-01,True,True,0.005744477654757718,0.005604768231691537,0.0001378768207614,1,3.2925351471607804,1.0,False,False,False
2022-10-01,True,True,0.01609850147776104,0.015398940692451069,0.0006893718536632001,2,-3.018188685867816,1.5,False,False,False
2022-11-01,False,True,-0.03873061461389837,-0.0397473054588634,0.0010516560266534047,6,-0.24043392180914158,2.3333333333333335,False,False,True
2022-12-01,True,True,0.0017727132875640095,0.0017727132875640095,0.0,0,,,False,False,False
2023-01-01,True,True,0.005743739959616523,0.0051766593354005686,0.0005656475033085252,3,2.813884123710799,245.0,False,False,False
2023-02-01,False,True,-0.02558501723955353,-0.025633176758022347,4.929921676700352e-05,0,,,False,False,True
2023-03-01,True,True,0.03837600578616107,0.03748050353292132,0.0008647805075592134,4,-2.0278377639302962,1.5,False,False,False
2023-04-01,True,True,0.0009326929090953673,0.0006059765646013737,0.00032627046387846746,1,3.026834630370143,2.0,False,False,False
2023-05-01,False,True,-0.007625022889909072,-0.007998918824930756,0.0003767533565299963,2,4.989108568468827,29.5,False,False,True
2023-06-01,True,True,0.0034306147143856602,0.0033836492137218066,4.6850952831242015e-05,0,,,False,False,False
2023-07-01,True,True,0.009351444888805238,0.00834030791225282,0.001002440161634064,4,-2.108137805184608,75.75,False,False,False
2023-08-01,True,True,0.0026659436929443725,0.0026011506102450177,6.462792212031846e-05,0,,,False,False,False
2023-09-01,False,True,-0.003438405030887659,-0.0038111702462869657,0.00037449942520483654,1,-3.418880595774403,1.0,False,False,True
2023-10-01,True,True,0.009999332854855103,0.008835589923200438,0.001153938880383412,4,-0.2562807562961794,2.75,False,False,False
2023-11-01,True,True,0.004997339588191485,0.004160766203344268,0.0008330769838997606,3,-1.1645730708507356,2.0,False,False,False
2023-12-01,True,True,0.006561143244076639,0.006179039859292468,0.00037993508971233085,2,-3.3371006306113773,286.0,False,False,False
2024-01-01,True,True,0.0128840730470825,0.012226203319839701,0.0006495616421689981,3,-3.6653482763379968,27.666666666666668,False,False,False
2024-02-01,True,True,0.016047084924701638,0.015445944101612818,0.0005938069203346328,2,-0.05845912125465613,1.0,False,False,False
2024-03-01,True,True,0.010613138711385028,0.010527297308806194,8.498343786891323e-05,0,,,False,False,False
2024-04-01,False,True,-0.009231787696026506,-0.01025636087788584,0.001034963685184662,4,-0.4860024937828673,2.25,False,False,True
2024-05-01,True,True,0.009778307515054818,0.008839741285688207,0.0009318149144641058,3,-0.8928463673887395,1.3333333333333333,False,False,False
2024-06-01,True,True,0.012847069530819377,0.011799250765981872,0.0010346206579470503,4,-1.0318161885718182,31.75,False,False,False
2024-07-01,True,True,0.01375938935179799,0.01207613345015246,0.0016634287178702136,7,0.1932083708059825,1.5714285714285714,False,False,False
2024-08-01,True,True,0.0026639866052178274,0.0024677753361692645,0.00019553585496280502,1,3.643327713820804,2.0,False,False,False
2024-09-01,True,True,0.011644661562635772,0.010474043826967705,0.0011576408017579458,4,3.493868598194159,1.5,False,False,False
2024-10-01,False,True,8.135885015558841e-05,-0.0006682795858757862,0.0007497442554311222,3,0.36908276500457693,43.666666666666664,True,False,True
2024-11-01,True,True,0.015373012074497261,0.015035780316602354,0.00033296444864568564,2,-4.127904555836077,1.5,False,False,False
2024-12-01,False,True,-0.002670822164747455,-0.0029206838116643263,0.00025067077915525186,1,3.6156882270360273,4.0,False,False,True
2025-01-01,True,True,0.020319295981613417,0.01920858237640366,0.0010918638446984746,4,2.3609842009891366,1.75,False,False,False
2025-02-01,False,True,-0.009104496147398944,-0.009692378198445262,0.0005916742262577259,2,0.31563677287111114,3.0,False,False,True
2025-03-01,True,True,0.013005628411098202,0.012154598522655435,0.0008410550355135186,3,3.2255655319562493,2.0,False,False,False
2025-04-01,True,True,0.018679553548646366,0.016993438647540104,0.0016611187999258893,9,0.591857536469842,1.4444444444444444,False,False,False
